ID;NameOfFile;cutFrame
54;_lmT4WlK7G0_00020.mp4;79
55;_lmT4WlK7G0_00021.mp4;96
56;_lmT4WlK7G0_00024.mp4;122
57;_lmT4WlK7G0_00026.mp4;73
58;_lmT4WlK7G0_00027.mp4;129
59;_lmT4WlK7G0_00030.mp4;133
60;_lmT4WlK7G0_00033.mp4;65
61;_lmT4WlK7G0_00034.mp4;110
62;_lmT4WlK7G0_00036.mp4;52
63;_lmT4WlK7G0_00037.mp4;133
64;_lmT4WlK7G0_00039.mp4;114
65;_lmT4WlK7G0_00040.mp4;158
66;_lmT4WlK7G0_00042.mp4;91
67;_lmT4WlK7G0_00043.mp4;13
68;_lmT4WlK7G0_00044.mp4;119
69;_lmT4WlK7G0_00048.mp4;50
70;_lmT4WlK7G0_00049.mp4;147
71;_lmT4WlK7G0_00051.mp4;104
72;_lmT4WlK7G0_00052.mp4;135
73;_lmT4WlK7G0_00054.mp4;141
74;_lmT4WlK7G0_00055.mp4;113
75;_lmT4WlK7G0_00057.mp4;69
76;_lmT4WlK7G0_00058.mp4;127
77;_lmT4WlK7G0_00060.mp4;42
78;_lmT4WlK7G0_00061.mp4;122
79;_lmT4WlK7G0_00062.mp4;67
80;_lmT4WlK7G0_00063.mp4;78
81;_lmT4WlK7G0_00064.mp4;127
82;_lmT4WlK7G0_00066.mp4;130
83;_lmT4WlK7G0_00067.mp4;141
84;_lmT4WlK7G0_00069.mp4;50
85;_lmT4WlK7G0_00070.mp4;122
86;_lmT4WlK7G0_00072.mp4;46
87;_lmT4WlK7G0_00073.mp4;108
88;_lmT4WlK7G0_00076.mp4;140
89;_lmT4WlK7G0_00077.mp4;137
90;_lmT4WlK7G0_00078.mp4;78
91;_lmT4WlK7G0_00079.mp4;52
92;_lmT4WlK7G0_00082.mp4;56
93;_lmT4WlK7G0_00083.mp4;120
94;_lmT4WlK7G0_00085.mp4;89
95;_lmT4WlK7G0_00086.mp4;124
96;_lmT4WlK7G0_00087.mp4;72
97;_lmT4WlK7G0_00088.mp4;71
98;_lmT4WlK7G0_00089.mp4;142
99;_lmT4WlK7G0_00092.mp4;48
100;_lmT4WlK7G0_00095.mp4;62
101;_lmT4WlK7G0_00096.mp4;134
102;_lmT4WlK7G0_00097.mp4;68
103;_lmT4WlK7G0_00098.mp4;76
104;_lmT4WlK7G0_00099.mp4;159
105;_lmT4WlK7G0_00101.mp4;81
106;_lmT4WlK7G0_00102.mp4;129
107;_lmT4WlK7G0_00104.mp4;36
108;_lmT4WlK7G0_00105.mp4;114
109;_lmT4WlK7G0_00108.mp4;127
110;_lmT4WlK7G0_00110.mp4;127
111;_lmT4WlK7G0_00111.mp4;82
112;_lmT4WlK7G0_00113.mp4;29
113;_lmT4WlK7G0_00114.mp4;122
114;_lmT4WlK7G0_00115.mp4;67
115;_lmT4WlK7G0_00116.mp4;137
116;_lmT4WlK7G0_00117.mp4;163
117;_lmT4WlK7G0_00119.mp4;136
118;_lmT4WlK7G0_00120.mp4;140
119;_lmT4WlK7G0_00122.mp4;30
120;_lmT4WlK7G0_00123.mp4;30
121;_lmT4WlK7G0_00124.mp4;64
122;_tigfCJFLZg_00000.mp4;31
123;_tigfCJFLZg_00001.mp4;97
124;_tigfCJFLZg_00003.mp4;64
125;_tigfCJFLZg_00005.mp4;113
126;_tigfCJFLZg_00009.mp4;73
127;_tigfCJFLZg_00010.mp4;45
128;_tigfCJFLZg_00012.mp4;118
129;_tigfCJFLZg_00013.mp4;42
130;_tigfCJFLZg_00014.mp4;120
131;_tigfCJFLZg_00018.mp4;7
132;_tigfCJFLZg_00019.mp4;134
133;_tigfCJFLZg_00021.mp4;41
134;_tigfCJFLZg_00022.mp4;114
135;_tigfCJFLZg_00024.mp4;101
136;_tigfCJFLZg_00025.mp4;140
137;_tigfCJFLZg_00028.mp4;67
138;_tigfCJFLZg_00029.mp4;132
139;_tigfCJFLZg_00031.mp4;57
140;_tigfCJFLZg_00032.mp4;143
141;_tigfCJFLZg_00037.mp4;44
142;_tigfCJFLZg_00038.mp4;121
143;_tigfCJFLZg_00040.mp4;55
144;_tigfCJFLZg_00041.mp4;128
145;_tigfCJFLZg_00043.mp4;78
146;_tigfCJFLZg_00044.mp4;83
147;_tigfCJFLZg_00045.mp4;149
148;_tigfCJFLZg_00048.mp4;130
149;_tigfCJFLZg_00049.mp4;117
150;_tigfCJFLZg_00051.mp4;50
151;_tigfCJFLZg_00054.mp4;78
152;_tigfCJFLZg_00055.mp4;128
153;_tigfCJFLZg_00057.mp4;73
154;_tigfCJFLZg_00058.mp4;122
155;_tigfCJFLZg_00060.mp4;24
156;_tigfCJFLZg_00061.mp4;122
157;_tigfCJFLZg_00062.mp4;52
158;_tigfCJFLZg_00063.mp4;62
159;_tigfCJFLZg_00064.mp4;130
160;_tigfCJFLZg_00066.mp4;48
161;_tigfCJFLZg_00067.mp4;116
162;_tigfCJFLZg_00069.mp4;44
163;_tigfCJFLZg_00070.mp4;124
164;_tigfCJFLZg_00073.mp4;69
165;_tigfCJFLZg_00074.mp4;110
166;_tigfCJFLZg_00076.mp4;23
167;_tigfCJFLZg_00077.mp4;99
168;_tigfCJFLZg_00080.mp4;137
169;_tigfCJFLZg_00082.mp4;116
170;_tigfCJFLZg_00083.mp4;150
171;_tigfCJFLZg_00085.mp4;75
172;_tigfCJFLZg_00086.mp4;131
173;_tigfCJFLZg_00088.mp4;39
174;_tigfCJFLZg_00089.mp4;132
175;_tigfCJFLZg_00092.mp4;35
176;_tigfCJFLZg_00093.mp4;100
177;_tigfCJFLZg_00095.mp4;90
178;_tigfCJFLZg_00098.mp4;48
179;_tigfCJFLZg_00099.mp4;115
180;_tigfCJFLZg_00102.mp4;71
181;_tigfCJFLZg_00103.mp4;124
182;_tigfCJFLZg_00105.mp4;65
183;_tigfCJFLZg_00106.mp4;26
184;_tigfCJFLZg_00107.mp4;71
185;_tigfCJFLZg_00109.mp4;102
186;_tigfCJFLZg_00113.mp4;124
187;_tigfCJFLZg_00114.mp4;56
188;_tigfCJFLZg_00117.mp4;120
189;_tigfCJFLZg_00118.mp4;165
190;_tigfCJFLZg_00120.mp4;43
191;_tigfCJFLZg_00121.mp4;124
192;_tigfCJFLZg_00123.mp4;101
193;_tigfCJFLZg_00124.mp4;165
194;_tigfCJFLZg_00126.mp4;69
195;_tigfCJFLZg_00127.mp4;127
196;_tigfCJFLZg_00129.mp4;51
197;_tigfCJFLZg_00130.mp4;119
198;_tigfCJFLZg_00132.mp4;34
199;_tigfCJFLZg_00133.mp4;95
200;_tigfCJFLZg_00135.mp4;34
201;_tigfCJFLZg_00137.mp4;93
202;_tigfCJFLZg_00138.mp4;144
203;_tigfCJFLZg_00139.mp4;117
204;_tigfCJFLZg_00141.mp4;51
205;_tigfCJFLZg_00142.mp4;127
206;_tigfCJFLZg_00145.mp4;85
207;_tigfCJFLZg_00146.mp4;143
208;_tigfCJFLZg_00148.mp4;41
209;_tigfCJFLZg_00149.mp4;130
210;_tigfCJFLZg_00150.mp4;87
211;_tigfCJFLZg_00151.mp4;94
212;_tigfCJFLZg_00152.mp4;110
213;_tigfCJFLZg_00154.mp4;40
214;_tigfCJFLZg_00155.mp4;106
215;_tigfCJFLZg_00157.mp4;113
216;_tigfCJFLZg_00160.mp4;64
217;_tigfCJFLZg_00161.mp4;126
218;_tigfCJFLZg_00163.mp4;77
219;_tigfCJFLZg_00164.mp4;122
220;_tigfCJFLZg_00166.mp4;90
221;_tigfCJFLZg_00167.mp4;134
222;_tigfCJFLZg_00169.mp4;110
223;_tigfCJFLZg_00170.mp4;128
224;_tigfCJFLZg_00172.mp4;52
225;_tigfCJFLZg_00173.mp4;118
226;_tigfCJFLZg_00175.mp4;95
227;_tigfCJFLZg_00176.mp4;121
228;_tigfCJFLZg_00178.mp4;32
229;_tigfCJFLZg_00179.mp4;119
230;_tigfCJFLZg_00181.mp4;117
231;_tigfCJFLZg_00182.mp4;129
232;_tigfCJFLZg_00185.mp4;124
233;_tigfCJFLZg_00187.mp4;77
234;_tigfCJFLZg_00189.mp4;69
235;_tigfCJFLZg_00190.mp4;55
236;_tigfCJFLZg_00191.mp4;126
237;_tigfCJFLZg_00193.mp4;113
238;_tigfCJFLZg_00194.mp4;135
239;_tigfCJFLZg_00196.mp4;174
240;_tigfCJFLZg_00197.mp4;136
241;_tigfCJFLZg_00200.mp4;127
242;_tigfCJFLZg_00202.mp4;93
243;_tigfCJFLZg_00203.mp4;139
244;_tigfCJFLZg_00205.mp4;76
245;_tigfCJFLZg_00206.mp4;139
246;_tigfCJFLZg_00208.mp4;100
247;_tigfCJFLZg_00209.mp4;133
248;_tigfCJFLZg_00211.mp4;31
249;_tigfCJFLZg_00212.mp4;14
250;_tigfCJFLZg_00213.mp4;104
251;_tigfCJFLZg_00215.mp4;103
252;_tigfCJFLZg_00217.mp4;134
253;_tigfCJFLZg_00219.mp4;95
254;_tigfCJFLZg_00221.mp4;
255;_tigfCJFLZg_00222.mp4;135
256;_tigfCJFLZg_00223.mp4;98
257;_tigfCJFLZg_00224.mp4;59
258;_tigfCJFLZg_00225.mp4;127
259;_tigfCJFLZg_00227.mp4;56
260;_tigfCJFLZg_00230.mp4;34
261;_tigfCJFLZg_00231.mp4;115
262;_tigfCJFLZg_00232.mp4;177
263;_tigfCJFLZg_00233.mp4;21
264;_tigfCJFLZg_00234.mp4;114
265;_tigfCJFLZg_00237.mp4;84
266;_tigfCJFLZg_00238.mp4;119
267;_tigfCJFLZg_00240.mp4;82
268;_tigfCJFLZg_00241.mp4;156
269;_tigfCJFLZg_00243.mp4;91
270;_tigfCJFLZg_00244.mp4;136
271;_tigfCJFLZg_00246.mp4;91
272;_tigfCJFLZg_00247.mp4;145
273;_tigfCJFLZg_00249.mp4;122
274;_tigfCJFLZg_00252.mp4;33
275;_tigfCJFLZg_00253.mp4;107
276;_tigfCJFLZg_00255.mp4;118
277;_tigfCJFLZg_00256.mp4;136
278;_tigfCJFLZg_00258.mp4;47
279;_tigfCJFLZg_00259.mp4;115
280;_tigfCJFLZg_00260.mp4;139
281;_tigfCJFLZg_00261.mp4;87
282;_tigfCJFLZg_00263.mp4;120
283;_tigfCJFLZg_00264.mp4;27
284;_tigfCJFLZg_00267.mp4;43
285;_tigfCJFLZg_00268.mp4;104
286;_tigfCJFLZg_00270.mp4;36
287;_tigfCJFLZg_00271.mp4;73
288;_tigfCJFLZg_00272.mp4;76
289;_tigfCJFLZg_00273.mp4;68
290;_tigfCJFLZg_00274.mp4;127
291;_tigfCJFLZg_00276.mp4;65
292;_tigfCJFLZg_00278.mp4;120
293;_tigfCJFLZg_00279.mp4;53
294;_tigfCJFLZg_00282.mp4;84
295;_tigfCJFLZg_00283.mp4;120
296;_tigfCJFLZg_00285.mp4;51
297;_tigfCJFLZg_00286.mp4;130
298;_tigfCJFLZg_00289.mp4;52
299;_tigfCJFLZg_00290.mp4;122
300;_tigfCJFLZg_00292.mp4;81
